Codarea;Extenso
"00000005";"Empresa de Mkt.Promocional"
"00000006";"Agência de Modelos e Casting"
"00000007";"Agência de Publicidade"
"00000008";"Agência de Web Design"
"00000013";"Assessoria de Imprensa"
"00000014";"Produtora de Audiovisuais"
"00000015";"Empresa de Auditoria"
"00000039";"Produtora de Comerciais"
"00000049";"Fabricante de Embalagens"
"00000050";"Entidade de Classe"
"00000053";"Escola"
"00000058";"Eventos - Locais"
"00000066";"Produtora de Fonogramas"
"00000067";"Estúdio Fotográfico"
"00000072";"Governo"
"00000073";"Gráfica"
"00000078";"Estúdio de Ilustração"
"00000091";"Jornal"
"00000097";"Empresa de Mkt.Direto"
"00000107";"Empresa de Mídia Exterior"
"00000113";"Empresa de Pesquisa"
"00000121";"Emissora de Rádio"
"00000126";"Representante de Veículos"
"00000128";"Editora de Revistas"
"00000141";"Emissora de Televisão"
"00000163";"Mobiliário Urbano"
"00000171";"Empresa de Design"
"00000176";"Banco de Imagens"
