CodCategoria;Categoria;Descricao;NomeDeGrupo
BRC000;Branded Content;Trabalhos que utilizem formatos de conteúdo cultural, artístico ou informativo -- não tradicionalmente publicitários -- como suporte para a comunicação original de uma marca ou organização.;Verdadeiro;
BRC101;Ficção para TV ou Cinema;Drama, comédia ou mini-série;Falso;
BRC102;Ficção Online;Séries ou filmes criados para internet ou para plataformas sociais.;Falso;
BRC103;Não Ficção para TV ou Cinema;Drama, comédia ou mini-série;Falso;
BRC104;Não Ficção Online;Séries ou filmes criados para internet ou para plataformas sociais.;Falso;
BRC105;Publicação Impressa;Livro, revista, etc.;Falso;
BRC106;Presença de Marca em Conteúdo Cultural;Product Placement (Inserções de marca ou de imagens de produto ou serviço em filmes, programas de televisão, etc.);Falso;
BRC107;Uso da Marca em Redes Sociais;Incorporação da marca em postagens nas redes sociais, como Facebook, Instagram, Linkedin, Whatsapp, YouTube, etc.;Falso;
BRC108;Conteúdo Gerado por Usuários;Utilização de materiais produzidos pelo público em comunicação promocional ou institucional da marca.;Falso;
DES000;Design;Peças de comunicação que mereçam destaque por sua técnica e excelência artística com o propósito não apenas funcional, mas de inspirar e motivar o público alvo.;Verdadeiro;
DES100;Cases de Design;Projetos de média e longa duração, que envolvem o diagnóstico do problema de comunicação visual do cliente, o estabelecimento de estratégias criativas e a aplicação do material criado como solução.;Verdadeiro;
DES101;Case de Design Ambiental;Cases que apresentem os problemas, as estratégias e as soluções adotadas para aplicação em ambiente interno ou externo da empresa, para informar, orientar ou interagir com o público-alvo.;Falso;
DES102;Case de Branding ou Design Corporativo;Cases que apresentem os problemas, as estratégias e as soluções adotadas para definir uma imagem única e especial para a empresa. Inclui Programa de Branding e Identidade Corporativa.;Falso;
DES103;Case de Design de Embalagem;Cases que apresentem os problemas, as estratégias e as soluções adotadas para o acondicionamento de produtos do cliente.;Falso;
DES104;Case de Responsabilidade Social em Design;Cases que apresentem as soluções de design de comunicação que tenham gerado benefícios para a sociedade, através de sustentabilidade, proteção ao meio ambiente, melhoria no acesso aos produtos ou serviços, distribuição de renda, educação etc.;Falso;
DES200;Design Ambiental;Peça ou conjunto de peças que interfira no ambiente em que for instalado ou se utilize dele para informar, orientar ou interagir com o público-alvo.;Verdadeiro;
DES201;Peça ou Conjunto de Peças de Sinalização;Materiais criados com a finalidade de informar ou orientar o público-alvo quanto à melhor utilização do espaço em questão.;Falso;
DES202;Peça ou Conjunto de Peças de Merchandising de Produto;Materiais criados para aplicação em pontos-de-venda, com a finalidade de promover produtos do cliente.;Falso;
DES203;Peça ou Conjunto de Materiais de Merchandising de Serviço;Materiais criados para aplicação em pontos-de-venda, com a finalidade de promover serviços do cliente.;Falso;
DES204;Banner, Faixa ou Estandarte;Material rígido ou flexível, de utilização temporária, utilizado na decoração ou comunicação de informações relativas ao cliente. Atenção: não é banner digital;Falso;
DES205;Cartaz de Produto de Consumo;Peça gráfica para afixação em paredes, muros ou assemelhados, criada para a comunicação de produto de consumo.;Falso;
DES206;Cartaz de Serviço;Peça gráfica para afixação em paredes, muros ou assemelhados, criada para a comunicação de serviço.;Falso;
DES207;Cartaz de Produto Cultural ou de Lazer;Peça gráfica para afixação em paredes, muros ou assemelhados, criada para a comunicação de produto cultural ou de lazer.;Falso;
DES208;Cartaz Social ou Comunitário;Peça gráfica para afixação em paredes, muros ou assemelhados, criada com objetivos sociais ou comunitários.;Falso;
DES209;Decoração de Loja ou Vitrine;Modificações realizadas em ponto-de-venda com o objetivo de destacar produto ou oportunidade promocional.;Falso;
DES210;Display de Solo;Peça utilizada para a exibição de produto, colocada em ponto-de-venda necessariamente à altura do solo.;Falso;
DES211;Display de Balcão ou de Vitrine;Peça utilizada para a exibição de produto, colocada em ponto-de-venda necessariamente em balcão ou vitrine.;Falso;
DES212;Display Expositor ou Dispenser;Peça utilizada para a exibição e retirada do produto, folheto ou outro material promocional por parte do consumidor.;Falso;
DES213;Balcão ou Quiosque;Estrutura, usualmente temporária, instalada em ambientes de circulação do público-alvo, com finalidade de venda ou demonstração de produto ou serviço.;Falso;
DES214;Estande para Feira ou Exposição;Estande instalado em feiras, exposições ou outros eventos multimarcas. Nesta categoria, julga-se o projeto de design do estande, não as ações nele desenvolvidas.;Falso;
DES215;Cenografia para Evento Promocional;Conjunto de peças utilizadas para a ambientação, identificação e sinalização de evento promocional.;Falso;
DES300;Branding e Design Corporativo;Peça ou conjunto de peças para uso da comunicação de marketing do cliente e que se aproveitem ou reforcem, da forma mais criativa e funcional, da identidade visual da empresa.;Verdadeiro;
DES301;Papelaria;Conjunto de peças de mesma identidade visual a serem utilizadas no ambiente de escritório do cliente e em suas interações pessoais, tais como papel de carta, envelope, pastas de documentos etc.;Falso;
DES302;Identidade Visual para Frota de Veículos;Aplicação da marca ou outros elementos gráficos do cliente em sua frota de veículos.;Falso;
DES303;Assinatura, Selo ou Vinheta;Peça de pequenas dimensões ou duração, para identificação da empresa quando aplicada em outros materiais visuais ou objetos.;Falso;
DES304;Marca, Símbolo Gráfico ou Logotipo;Elemento gráfico utilizado para identificar, de forma única, qualquer empresa ou indivíduo.;Falso;
DES305;Design em Material Promocional;Aplicação de programação visual institucional ou promocional em amostras e brindes diversos (canecas, camisetas etc);Falso;
DES306;Capa de Disco, CD ou DVD;Inclusive CD-Rom e DVD, promocional ou artístico.;Falso;
DES307;Capa de Livro ou Caderno;Promocional ou artístico.;Falso;
DES308;Programa, Convite ou Comunicado;Peça destinada a informar sobre evento, encontro, decisões etc.;Falso;
DES309;Broadside;Peça gráfica normalmente utilizada em lançamento de produto, serviço ou ação promocional, com informações sobre a campanha desenvolvida a respeito.;Falso;
DES310;Folheto Promocional;Peça gráfica produzida com poucas folhas, não encadernada, para distribuição personalizada ou em displays take-one.;Falso;
DES311;Material Técnico ou Informativo;Catálogo, Manual, Apresentação etc.;Falso;
